TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,01,00101,0111,2869907,1,5,2611,2,0.12
06,01,01,01,00101,0112,2869908,1,10,2108,2,0.13
06,01,01,01,00101,0112,2869908,2,10,2107,2,0.12
06,01,01,01,00101,0114,2869910,1,11,2107,2,0.5
06,01,01,01,00101,0115,2869912,1,3,2113,2,0.13
06,01,01,01,00101,0115,2869912,2,11,2108,2,0.25
06,01,01,01,00101,0116,2869913,1,11,2505,2,0.01
06,01,01,01,00101,0116,2869913,2,10,2107,2,0.25
06,01,01,01,00101,0116,2869913,3,6,2614,2,0.25
06,01,01,01,00101,0117,2869914,1,11,2108,2,0.25
06,01,01,01,00101,0118,2869916,1,11,2107,2,0.1
06,01,01,01,00101,0119,2869915,1,12,2107,2,0.5
06,01,01,01,00101,0120,2869917,1,11,2107,2,0.25
06,01,01,01,00101,0121,2869918,1,11,2107,2,0.25
06,01,01,01,00101,0122,2869919,1,11,2108,2,1.0
06,01,01,01,00101,0123,2869920,1,11,2107,2,0.25
06,01,01,01,00101,0124,2869921,1,10,2614,2,0.25
06,01,01,01,00101,0124,2869921,2,9,2108,2,0.5
06,01,01,01,00101,0124,2869921,3,5,2401,2,0.1
06,01,01,01,00101,0124,2869921,4,10,2611,2,0.25
06,01,01,01,00101,0126,2869923,1,11,2107,2,0.12
06,01,01,01,00101,0126,2869923,2,5,2611,2,0.25
06,01,01,01,00101,0126,2869923,3,5,2401,2,0.2
06,01,01,01,00101,0127,2869924,1,11,2107,2,0.5
06,01,01,01,00101,0127,2869924,2,9,2614,2,0.12
06,01,01,01,00101,0127,2869924,3,9,2611,2,0.12
06,01,01,01,00101,0128,2869925,1,11,2107,2,0.5
06,01,01,01,00101,0128,2869925,2,9,2612,2,0.5
06,01,01,01,00101,0129,2869926,1,10,2107,2,2.0
06,01,01,01,00101,0130,2869938,1,11,2107,2,0.25
06,01,01,01,00101,0130,2869938,2,1,2614,2,0.1
06,01,01,01,00101,0131,2869928,1,10,2107,2,0.2
06,01,01,01,00101,0132,2869929,1,5,2343,2,0.03
06,01,01,01,00101,0133,2869930,1,10,2107,2,0.25
06,01,01,01,00101,0134,2869931,1,11,2107,2,0.25
06,01,01,01,00101,0135,2869932,1,11,2108,2,0.25
06,01,01,01,00101,0135,2869932,2,6,2345,2,0.25
06,01,01,01,00101,0135,2869932,3,2,2614,2,0.25
06,01,01,01,00101,0136,2869934,1,11,2403,2,2.0
06,01,01,01,00101,0136,2869934,2,2,2401,2,2.0
06,01,01,01,00101,0136,2869934,3,11,2107,2,2.0
06,01,01,01,00101,0137,2869935,1,8,2620,2,0.5
06,01,01,01,00101,0138,2869936,1,8,2614,1,0.25
06,01,01,01,00101,0138,2869936,2,11,2401,2,0.25
06,01,01,01,00101,0138,2869936,3,11,2107,2,1.0
06,01,01,01,00101,0139,2869927,1,11,2107,2,0.25
06,01,01,01,00101,0140,2869937,1,10,2108,2,0.5
06,01,01,01,00102,0003,2869693,1,7,2614,1,0.25
06,01,01,01,00102,0003,2869693,2,6,2706,1,0.25
06,01,01,01,00102,0003,2869693,3,8,2204,1,0.25
06,01,01,01,00102,0005,2869695,1,9,2620,2,0.04
06,01,01,01,00102,0006,2869690,1,7,2312,1,0.01
06,01,01,01,00102,0006,2869690,2,6,2319,1,0.01
06,01,01,01,00102,0006,2869690,3,6,2316,1,0.01
06,01,01,01,00102,0007,2869698,1,10,2107,2,1.0
06,01,01,01,00102,0007,2869698,2,5,2620,2,1.0
06,01,01,01,00102,0007,2869698,3,10,2108,2,0.25
06,01,01,01,00102,0008,2869691,1,10,2108,2,0.25
06,01,01,01,00102,0008,2869691,2,9,2620,2,0.25
