TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P117_01,P117_02,P117_03,P117_04,P117_05,P117_06,P118,P119,P120_01,P120_02,P121,P121_01
11,01,05,02,00502,0089,2478046,2,1,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0090,2301378,2,2,2,2,2,2,2,2,1,1,,2.0
11,01,05,02,00502,0091,2478048,2,1,1,2,2,2,4,2,2,2,0.0,
11,01,05,02,00502,0092,2563960,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0093,2563958,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0094,2563959,2,1,1,2,2,2,4,2,2,2,,2.0
11,01,05,02,00502,0095,2478047,2,1,1,2,2,2,2,2,1,2,,2.0
11,01,05,02,00502,0096,2563957,2,1,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0097,2563956,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0098,2563955,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0099,2563954,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0100,2563952,2,2,2,2,2,2,2,2,1,2,,2.0
11,01,05,02,00502,0101,2563953,2,1,1,2,2,2,1,2,2,2,1.0,
11,01,05,02,00502,0102,2563951,2,1,1,2,2,2,1,2,1,2,,2.0
11,01,05,02,00502,0103,2563949,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0104,2563947,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0105,2563946,2,2,1,2,2,2,4,2,2,2,0.0,
11,01,05,02,00502,0106,2563945,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0107,2563942,2,1,2,2,2,2,1,1,2,2,,2.0
11,01,05,02,00502,0108,2563941,2,2,2,2,2,2,2,2,2,2,1.0,
11,01,05,02,00502,0109,2563944,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0110,2563943,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0111,0227121,2,2,1,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0112,0227140,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00502,0113,0227139,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0114,0227138,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0115,0227137,2,2,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0116,0227136,2,1,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00502,0117,0227135,2,1,1,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0118,0227134,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0119,0227133,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0120,2301373,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0121,2301377,2,1,1,2,2,2,2,2,1,1,,2.0
11,01,05,02,00502,0122,2301376,2,2,1,2,2,2,2,2,1,2,,2.0
11,01,05,02,00502,0123,2301379,2,1,2,2,2,2,2,2,1,1,,2.0
11,01,05,02,00502,0124,2301375,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0125,2301370,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0126,2301372,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0127,2301371,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0128,0227131,2,2,2,2,2,2,1,1,1,1,,2.0
11,01,05,02,00502,0129,0227130,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00502,0130,0227129,2,2,2,2,2,2,1,1,2,2,,2.0
11,01,05,02,00502,0131,0885580,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00502,0132,0578080,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00502,0133,0227123,2,1,2,2,2,2,1,2,2,2,0.0,
11,01,05,02,00503,0001,2477717,2,1,2,2,2,2,3,2,2,2,0.0,
11,01,05,02,00503,0002,2477718,2,1,2,2,2,2,3,2,2,2,0.0,
11,01,05,02,00503,0003,2478058,2,2,2,2,2,2,4,1,2,2,0.0,
11,01,05,02,00503,0004,2477715,2,1,2,2,2,2,3,2,2,2,0.0,
11,01,05,02,00503,0005,2477716,2,2,2,2,2,2,1,2,1,2,,2.0
11,01,05,02,00503,0006,2477710,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,05,02,00503,0007,2477711,2,2,2,2,2,2,1,2,1,1,,2.0
11,01,05,02,00503,0008,2477745,2,2,2,2,2,2,1,1,2,2,,2.0
11,01,05,02,00503,0009,2477713,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0010,2477712,2,1,2,2,2,2,3,2,2,2,,2.0
11,01,05,02,00503,0011,2477744,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0012,2477741,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0013,2477709,2,1,2,2,2,2,3,2,2,2,0.0,
