TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P023_01,P023_04,P023_07
02,01,01,10,00101,0008,2957254,1,30.0,010115
02,01,01,10,00101,0067,2957203,1,15.0,010602
02,01,01,10,00101,0079,2929521,2,15.0,010517
02,01,01,10,00101,0079,2929521,1,6.0,010517
02,01,01,10,00101,0087,2958991,1,10.0,060307
02,01,01,10,00101,0095,2958975,1,2.0,010103
02,01,01,10,00101,0124,3340775,1,2.5,060305
02,01,01,10,00101,0140,3365493,1,15.0,010609
02,01,01,10,00102,0021,3365038,1,195.0,010106
02,01,01,10,00102,0033,3365021,1,50.0,010106
02,01,01,10,00102,0035,3365031,1,1.0,060309
02,01,01,10,00102,0038,3365047,1,2.5,010106
02,01,01,10,00102,0062,3365080,1,8.0,010119
02,01,01,10,00102,0082,3365471,1,70.0,010106
02,01,01,10,00102,0097,3365470,1,40.0,010103
02,01,01,10,00102,0100,3365473,1,3.0,010521
02,01,01,10,00102,0100,3365473,2,1.0,010521
02,01,01,10,00102,0166,3365008,1,30.0,010106
02,01,01,10,00102,0171,3365041,1,54.0,010103
02,01,01,10,00102,0172,3065591,1,3.27,010106
02,01,01,10,00102,0175,3065595,1,1.0,010106
02,01,01,10,00102,0176,3065596,1,16.75,010106
02,01,01,10,00102,0177,3065598,1,2.01,010106
02,01,01,10,00102,0178,3065599,1,7.5,010106
02,01,01,10,00102,0179,3065600,1,0.25,010106
02,01,01,10,00102,0180,3065531,1,14.5,010106
02,01,01,10,00102,0181,3065530,1,10.02,010106
02,01,01,10,00102,0182,3065532,1,5.25,010106
02,01,01,10,00102,0184,3065535,1,12.13,010106
02,01,01,10,00102,0185,3065536,1,75.0,010106
02,01,01,10,00102,0187,3065539,1,4.5,010106
02,01,01,10,00102,0188,3065538,1,10.25,010106
02,01,01,10,00102,0189,3065529,1,9.2,010106
02,01,01,10,00103,0003,2701225,1,2.0,010609
02,01,01,10,00103,0004,2701224,1,0.06,010103
02,01,01,10,00103,0010,2701234,1,1.0,010103
02,01,01,10,00103,0021,0242790,1,1.5,010103
02,01,01,10,00103,0021,0242790,2,1.5,010103
02,01,01,10,00103,0025,2701333,1,2.0,010103
02,01,01,10,00103,0027,2701326,1,6.0,010517
02,01,01,10,00103,0033,2701344,1,1.0,010103
02,01,01,10,00103,0034,2701338,1,20.0,010114
02,01,01,10,00103,0035,0455686,1,0.5,010103
02,01,01,10,00103,0039,0242787,1,20.0,010517
02,01,01,10,00103,0039,0242787,2,20.0,010517
02,01,01,10,00103,0079,2939486,1,3.0,130304
02,01,01,10,00103,0081,2939490,1,3.0,010517
02,01,01,10,00103,0081,2939490,2,4.0,010517
02,01,01,10,00103,0112,2929534,1,1.0,010517
02,01,01,10,00103,0126,2937541,1,1.5,060310
02,01,01,10,00103,0139,2937556,1,4.5,010517
02,01,01,10,00103,0162,2937552,1,60.0,130304
02,01,01,10,00103,0163,2701226,1,4.0,010103
02,01,01,10,00103,0163,2701226,2,0.25,010103
02,01,01,10,00104,0013,2958872,1,1.0,010517
02,01,01,10,00104,0022,2939200,1,6.0,010517
02,01,01,10,00104,0026,2939192,1,2.0,010517
02,01,01,10,00104,0042,2958903,1,5.0,010517
02,01,01,10,00104,0068,2958271,1,2.0,010521
02,01,01,10,00104,0069,2958906,1,16.0,010517
02,01,01,10,00104,0075,2958299,1,30.0,010517
02,01,01,10,00104,0087,2958288,1,1.0,060304
02,01,01,10,00104,0097,2958954,1,95.0,010517
02,01,01,10,00104,0101,3365556,1,55.0,010517
02,01,01,11,00101,0040,3206556,1,1.5,010306
